Setting,App,Model,Embedding,Classifier,Accuracy,Precision,Recall,F1_0,F1_1
KIN,addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Threshold,0.5047058293742823,1.0,0.5047058293742823,0.6708365442887391,0.6708365442887391
KIN,addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Nearest Neighbors,0.6800936662688852,0.9881308478307688,0.5966075737216997,0.5736534133533383,0.744004612529504
KIN,addressbook,DS_content_tags_modelsize100epoch31,Content and tags,SVM RBF,0.6780222007070003,0.9900335432804844,0.5927499169231214,0.573134328358209,0.7415320102664208
KIN,addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Decision Tree,0.6653795060004953,0.9791312788158214,0.5829829656278445,0.5578842463817698,0.7308260054517627
KIN,addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Gaussian Naive Bayes,0.681737329160381,0.9901122842299312,0.5975178073483305,0.5759712014399281,0.7452740083977581
KIN,addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Random Forest,0.6653795060004953,0.9791312788158214,0.5829829656278445,0.5578842463817698,0.7308260054517627
KIN,addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Ensemble,0.6796996374935267,0.9887998848810438,0.5956828919422652,0.5737230870653102,0.7434743798970327
KIN,addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Neural Network,0.6811744309098687,0.990100433855078,0.5967953997081473,0.5755395683453238,0.7447084700537268
LOT,claroline,DS_all_modelsize100epoch31,Ensemble,Dummy,0.6747157491838343,0.842214790040877,0.7560715238857753,0.1847933417971505,0.7968217136026439
LOT,claroline,DS_all_modelsize100epoch31,Ensemble,Threshold,0.2578520770010131,1.0,0.2578520770010131,0.409987917841321,0.409987917841321
LOT,claroline,DS_all_modelsize100epoch31,Ensemble,Nearest Neighbors,0.948891140380502,0.9525003213780692,0.9887243127835602,0.8178900922583233,0.9702743403391604
LOT,claroline,DS_all_modelsize100epoch31,Ensemble,SVM RBF,0.9950467184509738,0.9950824029771398,0.9990659194021884,0.9839883551673944,0.9970701824477294
LOT,claroline,DS_all_modelsize100epoch31,Ensemble,Decision Tree,0.9180457052797478,0.939921976592978,0.96450493728316,0.7180480247869868,0.952054794520548
LOT,claroline,DS_all_modelsize100epoch31,Ensemble,Gaussian Naive Bayes,0.9828323764493976,1.0,0.9796503869762476,0.9479610987886026,0.9897206026086076
LOT,claroline,DS_all_modelsize100epoch31,Ensemble,Random Forest,0.9155690645052348,0.9366744366744368,0.9651721377101682,0.7058823529411764,0.9507097791798108
LOT,claroline,DS_all_modelsize100epoch31,Ensemble,Ensemble,0.9617809298660362,0.9664254514635896,0.9890579129970644,0.8695485110470702,0.9776107099284468
LOT,claroline,DS_all_modelsize100epoch31,Ensemble,Neural Network,0.9989868287740628,0.9997996794871796,0.9989991993594876,0.9967672413793104,0.999399279134962
LOT,claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Dummy,0.6801193290554993,0.8427255985267035,0.7632772884974647,0.1845314966279236,0.8010363057101846
LOT,claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Threshold,0.0,,0.0,,
LOT,claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Nearest Neighbors,0.6816953731847348,1.0,0.6226981585268214,0.4955846936044956,0.7674848896015789
LOT,claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,SVM RBF,0.8436339074636947,0.8436339074636947,1.0,0.0,0.9151859314892836
LOT,claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Decision Tree,0.5680513340087808,1.0,0.4879903923138511,0.419954648526077,0.6559052999730967
LOT,claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Gaussian Naive Bayes,0.8436339074636947,0.8436339074636947,1.0,0.0,0.9151859314892836
LOT,claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Random Forest,0.5962512664640324,1.0,0.5214171337069655,0.436483620080132,0.6854361268254177
LOT,claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Ensemble,0.7140605651243949,1.0,0.6610621830797971,0.5223768333960136,0.7959511568123393
LOT,claroline,DS_DOM_RTED_modelsize100epoch31,DOM_RTED,Neural Network,0.9990994033547224,1.0,0.9989324793167867,0.9971284996410624,0.9994659546061416
LOT,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Dummy,0.6762355060227401,0.8416691328795501,0.7590072057646117,0.1815594763801935,0.7982037608756666
LOT,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Threshold,0.0,,0.0,,
LOT,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Nearest Neighbors,0.8150399639761342,0.9989766331229746,0.7815585801974914,0.6273531413018825,0.8769933368271319
LOT,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,SVM RBF,0.996059889676911,0.9997989815062984,0.9955297571390446,0.9875444839857652,0.9976598020861192
LOT,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Decision Tree,0.7971406056512439,0.9986858244261432,0.7605417667467307,0.6052573932092005,0.8634951897583516
LOT,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Gaussian Naive Bayes,0.8436339074636947,0.8436339074636947,1.0,0.0,0.9151859314892836
LOT,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Random Forest,0.7973094675222335,0.9985988265172082,0.760808646917534,0.6053698630136987,0.8636346423296853
LOT,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Ensemble,0.8733535967578521,0.9987470634299138,0.8509474246063518,0.7105737072292256,0.9189422869082788
LOT,claroline,DS_VISUAL_PDiff_modelsize100epoch31,VISUAL_PDiff,Neural Network,0.9977485083868064,0.999799384779992,0.9975313584200692,0.9928443649373884,0.9986640838955312
LOT,claroline,DS_content_modelsize100epoch31,Content only,Dummy,0.6746031746031746,0.8414299488244456,0.7569388844408861,0.1812774394561676,0.7969512837624249
LOT,claroline,DS_content_modelsize100epoch31,Content only,Threshold,0.1778115501519757,1.0,0.1778115501519757,0.3019354838709677,0.3019354838709677
LOT,claroline,DS_content_modelsize100epoch31,Content only,Nearest Neighbors,0.9621749408983452,0.9633009708737864,0.9929943955164132,0.8680800942285041,0.9779223339246994
LOT,claroline,DS_content_modelsize100epoch31,Content only,SVM RBF,0.9794551390296072,0.977657280982557,0.998465439017881,0.930303608936414,0.9879518072289156
LOT,claroline,DS_content_modelsize100epoch31,Content only,Decision Tree,0.9353821907013397,0.949759521643052,0.9749799839871898,0.7774331136099263,0.9622045170211364
LOT,claroline,DS_content_modelsize100epoch31,Content only,Gaussian Naive Bayes,0.9831138129010468,1.0,0.9799839871897518,0.9487704918032788,0.9898908208653456
LOT,claroline,DS_content_modelsize100epoch31,Content only,Random Forest,0.9332432736688056,0.9471876620010368,0.9752468641579932,0.7679968701095462,0.9610124917817224
LOT,claroline,DS_content_modelsize100epoch31,Content only,Ensemble,0.9707306090284814,0.9731196860693264,0.9927275153456098,0.901027788351732,0.9828258141224652
LOT,claroline,DS_content_modelsize100epoch31,Content only,Neural Network,0.979173702577958,0.9773380355276908,0.998465439017881,0.9292813455657492,0.987788778877888
LOT,claroline,DS_tags_modelsize100epoch31,Tags only,Dummy,0.6782055611842845,0.8431416092975054,0.7599412863624233,0.1873489694385216,0.7993823911288908
LOT,claroline,DS_tags_modelsize100epoch31,Tags only,Threshold,0.2940448046831025,1.0,0.2940448046831025,0.454458460200087,0.454458460200087
LOT,claroline,DS_tags_modelsize100epoch31,Tags only,Nearest Neighbors,0.9048181920522346,0.9538535053587276,0.9322791566586602,0.7131467345207804,0.9429429429429428
LOT,claroline,DS_tags_modelsize100epoch31,Tags only,SVM RBF,0.9424743892829,0.99538876276958,0.9361489191353084,0.841501240694789,0.9648604043460324
LOT,claroline,DS_tags_modelsize100epoch31,Tags only,Decision Tree,0.8834853090172239,0.9369503450142064,0.9240725914064584,0.6407497396737245,0.930466912999664
LOT,claroline,DS_tags_modelsize100epoch31,Tags only,Gaussian Naive Bayes,0.8987954519869413,1.0,0.8800373632239125,0.7555072069621974,0.9361913549577684
LOT,claroline,DS_tags_modelsize100epoch31,Tags only,Random Forest,0.8835415963075538,0.9343104955288106,0.9271417133706964,0.6351613472050784,0.9307123003248384
LOT,claroline,DS_tags_modelsize100epoch31,Tags only,Ensemble,0.9126421254080828,0.9692651578653256,0.92580731251668,0.7508028259473346,0.947037947037947
LOT,claroline,DS_tags_modelsize100epoch31,Tags only,Neural Network,0.8631655972081504,0.8611031230229482,0.9989324793167867,0.229965156794425,0.9249111969111968
LOT,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Dummy,0.6783744230552741,0.8442975942975943,0.7586736055511075,0.1924816280384397,0.7991987630025303
LOT,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Threshold,0.2577395024203535,1.0,0.2577395024203535,0.4098456030431864,0.4098456030431864
LOT,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Nearest Neighbors,0.9634132612856016,0.9777422364387578,0.9789164665065384,0.8826291079812206,0.97832899913316
LOT,claroline,DS_content_tags_modelsize100epoch31,Content and tags,SVM RBF,0.9987616796127434,0.999466025897744,0.9990659194021884,0.996044588277598,0.9992659325992658
LOT,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Decision Tree,0.9282899921197794,0.959399705212381,0.9554310114758472,0.7732289070843716,0.9574112455706358
LOT,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Gaussian Naive Bayes,0.9829449510300574,1.0,0.9797838270616492,0.948284690220174,0.9897886967950664
LOT,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Random Forest,0.9268828098615332,0.9573060733613952,0.955964771817454,0.7670790747713825,0.9566349524286428
LOT,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Ensemble,0.9716874929640889,0.9853246666219928,0.981051507872965,0.9105141433908558,0.9831834442178462
LOT,claroline,DS_content_tags_modelsize100epoch31,Content and tags,Neural Network,0.998536530451424,0.9994658832955,0.9987990392313852,0.9953287818900468,0.9991323499966628
KIN,claroline,DS_all_modelsize100epoch31,Ensemble,Dummy,0.6781421108943294,0.7586819287537123,0.8439497318923586,0.1919989888137521,0.7990474992926976
KIN,claroline,DS_all_modelsize100epoch31,Ensemble,Threshold,0.540625590030839,1.0,0.540625590030839,0.7018260549859063,0.7018260549859063
KIN,claroline,DS_all_modelsize100epoch31,Ensemble,Nearest Neighbors,0.8060167411416703,0.8731271225943931,0.8706774905788801,0.6005960865621356,0.8719005860105565
KIN,claroline,DS_all_modelsize100epoch31,Ensemble,SVM RBF,0.7985776323242495,0.883099786950271,0.8463900924680844,0.6089442815249267,0.8643553445791301
KIN,claroline,DS_all_modelsize100epoch31,Ensemble,Decision Tree,0.8076279186858834,0.8717664571617598,0.8749937745903681,0.5998481397114654,0.8733771344772447
KIN,claroline,DS_all_modelsize100epoch31,Ensemble,Gaussian Naive Bayes,0.8084460947825539,0.8715971935617004,0.876487872902037,0.6003466568622301,0.8740356918186936
KIN,claroline,DS_all_modelsize100epoch31,Ensemble,Random Forest,0.8076279186858834,0.8717664571617598,0.8749937745903681,0.5998481397114654,0.8733771344772447
KIN,claroline,DS_all_modelsize100epoch31,Ensemble,Ensemble,0.8061803763610045,0.8730179857910587,0.8710759167953251,0.6005706874189364,0.8720458700349012
KIN,claroline,DS_all_modelsize100epoch31,Ensemble,Neural Network,0.8023538296934987,0.878011102245913,0.8586250975314176,0.6049413777487044,0.8682098972671726
